DistanceToCenter,Total,Living,Kitchen,Repair,RoomsNumber,FurnitureExistence,FloorNumber,Year,NumberOfFloors,RoofType,BuildingType,OverlappingsType,MaterialWalls,PowerСlass,Chute,Playground,Sportsground,PowerSupply,ColdWaterSupply,HotWaterSupply,HeatSupply,GasSupply,WaterDisposal,FireSystem,Id,Adress,Region,City,District,Street,House,Latitude,Longitude,Cost
2677.653058,44,17,11,,1,False,9,,17,,,,,,False,False,False,,,,,,,False,103," Иваново,  Ленинский район, Полевая 2-я пл",Ивановская область, Иваново, Ленинский, Полевая 2-я пл,,56.9737395,40.9811957,1570000
2677.653058,44,16,10,,1,False,9,,17,,,,,,False,False,False,,,,,,,False,104," Иваново,  Ленинский район, Полевая 2-я пл",Ивановская область, Иваново, Ленинский, Полевая 2-я пл,,56.9737395,40.9811957,1580000
2571.60001,68,39,26,,2,False,9,,15,,,,,,False,False,False,,,,,,,False,105," Иваново,  Фрунзенский район, Тейковский пер",Ивановская область, Иваново, Фрунзенский, Тейковский пер,,56.9908674,40.9306046,2550000
2483.162809,54,33,9,,2,False,6,1991,9,2,,3,4,,True,True,False,,,,,,,False,106," Иваново,  Фрунзенский район, Кузнецова ул,124",Ивановская область, Иваново, Фрунзенский, Кузнецова ,124,57.0113834,40.9397714,1850000
2677.653058,68,36,12,,2,False,16,,17,,,,,,False,False,False,,,,,,,False,107," Иваново,  Ленинский район, Полевая 2-я ул",Ивановская область, Иваново, Ленинский, Полевая 2-я ул,,56.9737395,40.9811957,2536000
2677.653058,64,27,12,,2,False,10,,17,,,,,,False,False,False,,,,,,,False,108," Иваново,  Ленинский район, Полевая 2-я ул",Ивановская область, Иваново, Ленинский, Полевая 2-я ул,,56.9737395,40.9811957,2372000
2677.653058,44,15,10,,1,False,9,,17,,,,,,False,False,False,,,,,,,False,109," Иваново,  Ленинский район, Полевая 2-я ул",Ивановская область, Иваново, Ленинский, Полевая 2-я ул,,56.9737395,40.9811957,1663000
2677.653058,68,29,13,,2,False,9,,17,,,,,,False,False,False,,,,,,,False,110," Иваново,  Ленинский район, Полевая 2-я ул",Ивановская область, Иваново, Ленинский, Полевая 2-я ул,,56.9737395,40.9811957,2518000
2677.653058,67,29,12,,2,False,14,,17,,,,,,False,False,False,,,,,,,False,111," Иваново,  Ленинский район, Полевая 2-я ул",Ивановская область, Иваново, Ленинский, Полевая 2-я ул,,56.9737395,40.9811957,2503000
2677.653058,76,42,12,,3,False,13,,17,,,,,,False,False,False,,,,,,,False,112," Иваново,  Ленинский район, Полевая 2-я ул",Ивановская область, Иваново, Ленинский, Полевая 2-я ул,,56.9737395,40.9811957,2836000
4937.658637,46,22,10,,1,False,2,2015,19,2,,3,5,,True,True,False,,,,,,,False,113," Иваново,  Октябрьский район, Авдотьинская ул,30",Ивановская область, Иваново, Октябрьский, Авдотьинская ,30,57.0292936,40.9151335,1840000
6383.554228,90,54,9,,4,False,9,,10,,,,,,False,False,False,,,,,,,False,114," Иваново,  Ленинский район, ДСК мкр,3",Ивановская область, Иваново, Ленинский, ДСК мкр,3,56.9550558,41.0427949,3070000
1354.229982,112,65,27,,3,False,3,,18,,,,,,False,False,False,,,,,,,False,115," Иваново,  Ленинский район, Профсоюзная ул,4",Ивановская область, Иваново, Ленинский, Профсоюзная ,4,57.0031029,40.9909373,4260000
1060.101678,46,31,6,,2,False,5,1960,5,1,,3,5,,False,True,False,,,,,,,False,116," Иваново,  Фрунзенский район, Кузнецова ул,48",Ивановская область, Иваново, Фрунзенский, Кузнецова ,48,57.0033914,40.9581087,1750000
1354.229982,51,22,11,,1,False,3,,18,,,,,,False,False,False,,,,,,,False,117," Иваново,  Ленинский район, Профсоюзная ул,4",Ивановская область, Иваново, Ленинский, Профсоюзная ,4,57.0031029,40.9909373,2200000
1323.855552,86,50,14,,2,False,2,2012,9,2,,3,5,,False,True,False,,,,,,,False,118," Иваново,  Фрунзенский район, Богдана Хмельницкого ул,44",Ивановская область, Иваново, Фрунзенский, Богдана Хмельницкого ,44,56.9861241,40.9634352,4500000
