totalArea,floorNumber,floorsTotal,wallsMaterial,latitude,longitude,price
32,4,5,,56.9569013,40.9910269,1320000
31,1,5,,56.96186,40.9985271,1320000
43,2,5,,56.9528528,41.1005836,1320000
34,1,5,,56.96567,41.002593,1320000
33,5,5,4,56.9675669,40.9843174,1320000
30,4,5,,56.966821,40.962173,1320000
47,2,2,,56.9864999,41.0174438,1320000
41,1,4,,56.9694061,40.9681083,1320000
36,1,5,5,57.015742,41.0319961,1320000
29,3,5,,57.020022,40.964068,1330000
35,2,5,,56.9563534,41.039642,1330000
41,11,17,,56.9726955,41.0108145,1330000
28,5,5,5,56.983025,40.964017,1330000
53,2,2,,57.0273143,40.9780503,1330000
32,3,5,,56.9552569,40.986934,1330000
30,4,5,,56.976655,40.9659836,1330000
49,4,5,,57.0068597,40.8877232,1330000
41,17,17,,56.9726955,41.0108145,1330000
29,3,5,5,57.0199523,40.9587727,1330000
31,3,5,5,57.017158,40.9604854,1330000
42,3,17,,56.9726955,41.0108145,1330000
31,4,5,,56.9633693,40.9940312,1330000
31,5,5,4,56.962766,41.004372,1330000
33,4,5,,56.9563534,41.039642,1330000
35,4,5,,56.9563534,41.039642,1334000
35,5,5,,56.9563534,41.039642,1334000
35,4,5,,56.9563534,41.039642,1334000
35,5,5,,56.9563534,41.039642,1334000
34,2,5,,56.9536959,41.0432389,1336000
40,3,9,,56.9876271,41.0240263,1337000
40,3,9,,56.9896996,41.0203452,1337000
31,1,5,,56.969524,40.9645173,1340000
31,4,5,,56.995454,41.046589,1340000
31,3,5,,56.9829631,40.9664745,1340000
33,5,5,,56.9536959,41.0432389,1344000
34,4,5,,56.9563534,41.039642,1345000
34,4,5,,56.9536959,41.0432389,1345000
33,2,5,,56.9563534,41.039642,1346000
33,2,5,,56.9563534,41.039642,1346000
33,2,5,,56.9563534,41.039642,1346000
33,5,5,,56.9563534,41.039642,1348000
30,5,5,5,57.019481,40.9640141,1350000
30,1,5,,56.966892,40.9611651,1350000
25,1,3,5,56.9781118,40.9642328,1350000
38,9,10,5,57.014704,41.0179199,1350000
30,3,5,4,56.987272,41.033933,1350000
37,2,2,5,56.9998061,40.9564635,1350000
32,5,5,,56.970107,41.0139273,1350000
31,5,5,5,57.009942,40.985828,1350000
28,1,9,,56.9561692,40.975803,1350000
31,3,4,,56.9958305,40.9905796,1350000
46,1,4,5,57.0170885,40.9582977,1350000
31,5,5,,56.989714,40.9330589,1350000
32,3,5,5,56.989557,40.997343,1350000
30,5,5,5,57.024028,40.964584,1350000
42,16,17,,56.9726955,41.0108145,1350000
31,1,4,,56.9966609,41.0257219,1350000
30,3,5,4,56.987272,41.033933,1350000
53,1,2,1,57.029316,40.9787986,1350000
32,1,5,5,56.9729612,41.053554,1350000
48,5,5,4,57.0060766,40.885708,1350000
36,1,3,5,56.98062,40.963994,1350000
42,1,2,,56.996471,41.0053269,1350000
30,2,5,5,57.033578,40.946729,1350000
